구분,총계,2012년 이전,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
계,77032,7667,2200,3491,4439,6582,8129,9947,9876,11961,11132,1608
종로구,1772,813,0,0,210,150,1,261,85,9,200,43
중 구,2333,16,114,87,77,236,240,372,386,155,361,289
용산구,2383,34,71,234,125,221,298,351,125,307,617,0
성동구,3602,448,125,212,105,339,310,874,390,262,461,76
광진구,2588,35,57,100,187,98,52,675,465,712,175,32
동대문구,2497,1090,146,60,29,111,233,136,197,209,223,63
중랑구,3296,302,24,253,88,141,161,162,173,1049,939,4
성북구,3958,83,78,170,230,323,594,460,867,714,251,188
강북구,2462,0,0,24,65,105,243,6,392,1000,588,39
도봉구,1629,39,22,96,181,79,159,134,222,198,168,331
노원구,2415,0,97,193,77,516,331,175,216,320,386,104
은평구,3791,14,3,44,332,329,555,403,635,1057,288,131
서대문구,2940,730,253,155,108,137,223,356,237,343,397,1
마포구,2421,58,93,77,61,162,454,359,343,494,300,20
양천구,3312,1413,167,181,143,180,350,139,140,274,325,0
강서구,2560,55,129,106,213,188,168,506,259,457,356,123
구로구,4075,852,216,349,187,268,326,540,488,434,415,0
금천구,2374,0,0,178,80,361,133,196,540,369,508,9
영등포구,3778,572,136,238,123,209,248,311,658,65,1213,5
동작구,2297,41,24,25,503,128,253,271,300,322,419,11
관악구,4942,428,205,291,513,529,621,687,663,640,331,34
서초구,3704,116,75,94,71,563,516,1060,428,358,420,3
강남구,6502,124,77,75,597,840,1310,999,748,789,942,1
송파구,2854,72,61,86,85,215,148,241,542,1068,235,101
강동구,2547,332,27,163,49,154,202,273,377,356,614,0
