구별,CCTV댓수,최근증가율,인구수,외국인,고령자,외국인비율,고령자비율
종로구,1772,20.49,155106,9077,27605,5.85,17.8
중구,2333,78.98,132259,9243,23980,6.99,18.13
용산구,2383,78.64,240665,14287,38884,5.94,16.16
성동구,3602,46.13,295767,6605,45591,2.23,15.41
광진구,2588,112.29,355306,12825,50815,3.61,14.3
동대문구,2497,34.85,352259,14219,61262,4.04,17.39
중랑구,3296,191.07,394679,4707,70172,1.19,17.78
성북구,3958,94.53,443206,9548,73568,2.15,16.6
강북구,2462,446.95,306093,3448,63383,1.13,20.71
도봉구,1629,82.82,322419,2054,62894,0.64,19.51
노원구,2415,66.38,520005,4008,86697,0.77,16.67
은평구,3791,117.86,479409,4038,85921,0.84,17.92
서대문구,2940,49.8,317699,10629,53627,3.35,16.88
마포구,2421,89.95,379984,9852,53891,2.59,14.18
양천구,3312,28.72,454288,3296,66942,0.73,14.74
강서구,2560,78.53,582995,5476,90404,0.94,15.51
구로구,4075,48.83,424582,25316,71186,5.96,16.77
금천구,2374,149.47,244685,14517,40181,5.93,16.42
영등포구,3778,105.39,402375,24954,61571,6.2,15.3
동작구,2297,83.61,397231,9384,65732,2.36,16.55
관악구,4942,49.91,502698,13898,78647,2.76,15.64
서초구,3704,48.34,422174,3767,60395,0.89,14.31
강남구,6502,61.64,536107,4732,76184,0.88,14.21
송파구,2854,203.19,664341,5671,95164,0.85,14.32
강동구,2547,112.25,469094,3885,72275,0.83,15.41
