구별,살인발생,강도발생,강간발생,절도발생,폭력발생,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,CCTV댓수,인구수,범죄,검거
종로구,0.25,0.43,0.26,0.33,0.35,100.0,100.0,100.0,70.56,90.87,1772,155106,1.62,100.0
중구,0.08,0.36,0.18,0.65,0.29,50.0,83.33,58.97,47.68,84.96,2333,132259,1.56,3.37
용산구,0.17,0.14,0.32,0.1,0.33,100.0,100.0,87.13,54.45,89.54,2383,240665,1.06,78.54
성동구,0.42,0.57,0.07,0.08,0.07,83.33,100.0,72.18,52.68,87.23,3602,295767,1.2100000000000002,53.27
광진구,0.25,0.36,0.32,0.5,0.26,100.0,83.33,78.02,53.76,85.54,2588,355306,1.69,56.97
동대문구,0.42,0.64,0.14,0.34,0.31,100.0,90.0,85.12,54.02,92.72,2497,352259,1.8500000000000003,71.99
중랑구,0.75,0.21,0.08,0.4,0.5,100.0,100.0,78.26,54.5,86.0,3296,394679,1.94,69.79
성북구,0.17,0.14,0.15,0.13,0.16,100.0,100.0,73.86,67.56,90.27,3958,443206,0.7500000000000001,78.95
강북구,0.42,0.14,0.15,0.2,0.49,100.0,66.67,82.39,54.03,91.01,2462,306093,1.4000000000000001,52.33
도봉구,0.0,0.29,0.0,0.0,0.0,100.0,100.0,92.22,49.87,82.84,1629,322419,0.29,74.16
노원구,0.25,0.14,0.16,0.32,0.51,100.0,100.0,85.87,45.46,85.96,2415,520005,1.3800000000000001,68.75
은평구,0.17,0.0,0.18,0.36,0.37,100.0,100.0,83.51,62.43,87.72,3791,479409,1.08,80.34
서대문구,0.08,0.29,0.15,0.2,0.13,50.0,100.0,88.0,48.94,82.08,2940,317699,0.85,34.58
마포구,0.08,0.07,0.7,0.64,0.38,100.0,100.0,84.24,41.87,85.09,2421,379984,1.87,64.44
양천구,0.42,0.07,0.06,0.32,0.16,100.0,100.0,88.19,42.92,85.52,3312,454288,1.03,68.28
강서구,0.58,0.14,0.38,0.58,0.55,100.0,100.0,83.99,52.54,85.88,2560,582995,2.2300000000000004,72.38
구로구,0.75,0.14,0.24,0.52,0.55,90.0,100.0,73.01,50.37,84.17,4075,424582,2.2,54.78
금천구,0.42,0.64,0.11,0.17,0.23,100.0,60.0,82.35,53.15,89.38,2374,244685,1.57,45.81
영등포구,0.75,0.14,0.46,0.74,0.75,100.0,100.0,67.13,44.33,81.1,3778,402375,2.84,51.24
동작구,0.25,0.0,0.28,0.25,0.24,50.0,100.0,43.82,43.6,82.76,2297,397231,1.02,0.0
관악구,1.0,0.64,0.55,0.66,0.6,76.92,100.0,82.11,48.81,88.59,4942,502698,3.4500000000000006,53.98
서초구,0.33,0.43,0.91,0.68,0.58,100.0,71.43,66.88,49.25,83.59,3704,422174,2.93,36.08
강남구,0.33,0.29,1.0,1.0,1.0,60.0,100.0,84.38,45.08,86.36,6502,536107,3.62,39.39
송파구,0.5,0.64,0.32,0.75,0.73,100.0,100.0,84.25,42.05,84.73,2854,664341,2.94,64.32
강동구,0.42,1.0,0.16,0.39,0.39,83.33,93.33,86.11,54.97,86.64,2547,469094,2.36,59.61
