광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,소멸위기고위험지역,ID
강원도,강릉시,47006,21807,43830,211643,105025,106618,0.4975359342915811,True,False,강릉
강원도,고성군,5217,2042,7755,26792,13864,12928,0.26331399097356545,True,False,고성(강원)
강원도,동해시,18727,8258,17572,89814,45572,44242,0.4699521966765308,True,False,동해
강원도,삼척시,13583,6117,16077,65623,33275,32348,0.3804814331031909,True,False,삼척
강원도,속초시,18080,8171,15170,81497,40312,41185,0.5386288727752142,False,False,속초
강원도,양구군,5816,2207,4558,22379,11903,10477,0.4842035980693287,True,False,양구
강원도,양양군,4740,2064,8083,27628,14057,13571,0.2553507361128294,True,False,양양
강원도,영월군,6203,2712,11051,38345,19824,18521,0.2454076554157995,True,False,영월
강원도,원주시,90119,43299,51187,349361,173416,175946,0.8458983726336765,False,False,원주
강원도,인제군,8018,3057,6300,31502,17042,14461,0.4852380952380953,True,False,인제
강원도,정선군,6046,2617,9750,36313,18912,17402,0.2684102564102564,True,False,정선
강원도,철원군,10704,4206,9872,44768,23342,21426,0.42605348460291737,True,False,철원
강원도,춘천시,71296,34211,48578,279745,137994,141751,0.7042488369220635,False,False,춘천
강원도,태백시,7685,3482,10034,42288,21395,20894,0.3470201315527208,True,False,태백
강원도,평창군,6654,2925,11392,41489,21255,20235,0.25675912921348315,True,False,평창
강원도,홍천군,12874,5513,17500,68652,35274,33379,0.31502857142857144,True,False,홍천
강원도,화천군,6754,2382,5404,24704,13401,11303,0.4407846039970392,True,False,화천
강원도,횡성군,7436,3369,13230,46150,23624,22526,0.2546485260770975,True,False,횡성
경기도,가평군,11954,5313,15645,61675,31742,29934,0.3395973154362416,True,False,가평
경기도,과천시,16507,7958,8298,59891,29496,30395,0.9590262713906964,False,False,과천
경기도,광명시,82287,39992,40679,304481,150321,154161,0.9831116792448192,False,False,광명
경기도,광주시,102920,48938,48272,374979,191766,183213,1.0137968180311567,False,False,광주
경기도,구리시,54028,26590,25597,196379,97413,98966,1.0387936086260108,False,False,구리
경기도,군포시,76889,36948,34645,272796,135268,137528,1.0664742387068842,False,False,군포
경기도,권선구,113900,54496,39664,367862,185541,182321,1.3739411052843888,False,False,수원 권선
경기도,기흥구,115749,57650,54347,436038,215319,220719,1.0607761237970816,False,False,용인 기흥
경기도,김포시,123044,61263,54750,453048,227223,225825,1.118958904109589,False,False,김포
경기도,남양주시,173840,85953,95826,702635,349883,352752,0.8969695072318578,False,False,남양주
경기도,단원구,89533,41327,30205,301918,155486,146433,1.3682171825856646,False,False,안산 단원
경기도,덕양구,128811,63013,66283,467051,231010,236041,0.950666083309446,False,False,고양 덕양
경기도,동두천시,21377,10030,18298,92585,46302,46283,0.5481473385069406,False,False,동두천
경기도,동안구,88725,43476,35939,314107,153900,160207,1.2097164640084588,False,False,안양 동안
경기도,만안구,68402,32519,36484,239293,119715,119579,0.8913222234404122,False,False,안양 만안
경기도,부천시,235658,114391,106461,816254,404970,411284,1.0744873709621363,False,False,부천
경기도,분당구,136525,69419,58204,480686,233015,247672,1.192684351590956,False,False,성남 분당
경기도,상록구,100786,46801,38060,345097,175704,169394,1.229663688912244,False,False,안산 상록
경기도,수정구,69548,32754,36055,234559,118486,116073,0.9084454305921508,False,False,성남 수정
경기도,수지구,97248,49813,46884,369842,180430,189413,1.0624733384523506,False,False,용인 수지
경기도,시흥시,142694,65820,43659,483807,252576,231232,1.5075929361643647,False,False,시흥
경기도,안성시,45116,20437,31515,183828,94565,89264,0.6484848484848484,False,False,안성
경기도,양주시,54362,25761,34524,224618,113922,110697,0.7461765728189086,False,False,양주
경기도,양평군,21352,10102,29181,116778,58625,58153,0.34618416092663035,True,False,양평
경기도,여주시,23752,11011,23545,110689,56211,54478,0.4676576767891272,True,False,여주
경기도,연천군,9636,3819,11047,43105,22618,20487,0.3457047162125464,True,False,연천
경기도,영통구,122387,59653,25795,367134,184266,182869,2.312579957356077,False,False,수원 영통
경기도,오산시,70077,32375,20946,226810,117138,109672,1.5456411725389096,False,False,오산
경기도,의왕시,45389,21727,21260,161142,80251,80892,1.0219661335841956,False,False,의왕
경기도,의정부시,122528,60120,66409,450781,222088,228693,0.905298980559864,False,False,의정부
경기도,이천시,59856,27020,29862,215668,111336,104332,0.904828879512424,False,False,이천
경기도,일산동구,82581,41645,35975,295460,143741,151719,1.1576094510076442,False,False,고양 일산동
경기도,일산서구,79030,39500,36316,299967,145575,154392,1.087674854058817,False,False,고양 일산서
